                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1567,                 2.1064,                 1.1253,                  1.325,                0.84511,                0.85671,                0.90667,                0.61581,                0.84764,                0.85078,                0.90316,                0.55592,                 1.0496,                 2.0765,                 0.9774,                 1.2489,             0.00055027,             0.00055027,             0.00055027
                      2,                 1.1195,                 1.8215,                0.82472,                 1.2759,                 0.7379,                0.71269,                0.76581,                0.50373,                0.74527,                0.75947,                0.79873,                0.54404,                 1.1742,                 1.7906,                 1.1992,                  1.298,               0.001095,               0.001095,               0.001095
                      3,                 1.1374,                  1.819,                0.79732,                 1.2726,                0.76004,                0.83519,                0.81395,                0.53672,                0.76917,                0.84521,                0.83301,                0.55543,                 1.0756,                 1.7239,                 1.0712,                 1.2207,              0.0016287,              0.0016287,              0.0016287
                      4,                 1.1408,                 1.8107,                 0.7695,                 1.2562,                0.88645,                0.84967,                0.90336,                0.64125,                0.88653,                0.86192,                0.90714,                0.64779,                0.98404,                 1.5741,                0.83985,                 1.1517,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.0667,                 1.7796,                0.71278,                 1.2247,                0.87036,                0.91208,                 0.9209,                0.63179,                0.87514,                0.91982,                0.92643,                0.62952,                 1.0333,                  1.751,                0.71175,                 1.1795,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.0633,                  1.755,                0.70588,                 1.2185,                0.92088,                0.90721,                 0.9628,                0.71865,                0.92363,                0.91582,                0.96524,                0.70321,                0.95009,                 1.5819,                0.55721,                  1.076,               0.001601,               0.001601,               0.001601
                      7,                 1.0362,                 1.7054,                0.66808,                 1.2107,                0.90937,                0.93096,                0.97306,                0.73404,                0.90937,                0.93096,                0.97077,                0.71639,                0.91449,                 1.4854,                0.56757,                 1.0536,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.0301,                 1.6687,                0.65474,                 1.2055,                0.90531,                0.90089,                0.95573,                0.71205,                0.90285,                0.90646,                0.95717,                0.69964,                0.91686,                 1.4788,                0.60099,                 1.0524,               0.001568,               0.001568,               0.001568
                      9,                 1.0101,                 1.6793,                0.64701,                 1.1876,                0.90091,                0.91759,                0.96164,                0.72019,                0.90354,                0.92316,                0.96189,                0.70695,                0.95344,                 1.5242,                0.58544,                  1.069,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.0141,                 1.6698,                0.64158,                 1.1948,                 0.8969,                0.91314,                0.96472,                0.70426,                0.90175,                0.91759,                0.96544,                0.69956,                0.95092,                 1.4307,                0.60453,                 1.0574,               0.001535,               0.001535,               0.001535
